x y theta v w
0.114578 -0.286186 5.0893 0.54733 -0.00562554
0.134676 -0.337003 5.0887 0.5452 -0.00669129
0.154665 -0.387641 5.08798 0.543195 -0.00779936
0.174529 -0.438078 5.08714 0.541346 -0.0089078
0.194285 -0.488372 5.08618 0.539678 -0.00996972
0.21393 -0.538535 5.08512 0.538094 -0.0110316
0.233476 -0.588604 5.08398 0.536565 -0.0120978
0.252893 -0.638524 5.0827 0.535025 -0.0132097
0.272201 -0.688358 5.08134 0.533553 -0.0142827
0.291386 -0.73808 5.07986 0.532043 -0.015399
0.310428 -0.787663 5.07826 0.530527 -0.0165201
0.329334 -0.837137 5.07654 0.529043 -0.0175987
0.3481 -0.886504 5.07471 0.527535 -0.0186815
0.366719 -0.935764 5.07278 0.525991 -0.0197728
0.385184 -0.984914 5.07074 0.524407 -0.0208727
0.40349 -1.03395 5.06858 0.522779 -0.0219816
0.42163 -1.08287 5.06632 0.521103 -0.0230993
0.439598 -1.13168 5.06394 0.519376 -0.024226
0.457386 -1.18036 5.06145 0.517597 -0.025362
0.474975 -1.22888 5.05882 0.515763 -0.0265075
0.492372 -1.27728 5.05608 0.513929 -0.0276183
0.509584 -1.32559 5.05325 0.512034 -0.0287437
0.523192 -1.36409 5.05088 0.510019 -0.0299289
0.540314 -1.41297 5.04777 0.523125 -0.0320044
0.557406 -1.46226 5.04452 0.519646 -0.0331207
0.574211 -1.51125 5.04116 0.515229 -0.0342464
0.590709 -1.55988 5.03769 0.511006 -0.0353998
0.606878 -1.60811 5.03408 0.507043 -0.0365791
0.622752 -1.65603 5.03035 0.503416 -0.0377356
0.638335 -1.70368 5.02651 0.499948 -0.0389165
0.653627 -1.75107 5.02255 0.496596 -0.0401241
0.668629 -1.7982 5.01846 0.493334 -0.0413568
0.683338 -1.84509 5.01425 0.490138 -0.0426131
0.697753 -1.89174 5.00991 0.486992 -0.043892
0.711872 -1.93815 5.00544 0.48388 -0.0451924
0.725691 -1.98433 5.00084 0.480789 -0.0465137
0.739208 -2.03028 4.99611 0.477709 -0.0478555
0.752419 -2.076 4.99125 0.474633 -0.0492173
0.765319 -2.12148 4.98624 0.471552 -0.050599
0.777907 -2.16673 4.9811 0.468461 -0.0520006
0.790176 -2.21175 4.97581 0.465356 -0.0534221
0.802124 -2.25653 4.97038 0.462234 -0.0548636
0.813746 -2.30107 4.96481 0.459092 -0.0563253
0.825039 -2.34538 4.95909 0.455927 -0.0578074
0.835998 -2.38944 4.95322 0.452738 -0.0593103
0.846619 -2.43325 4.94719 0.449525 -0.0608341
0.856899 -2.47681 4.94102 0.446287 -0.0623793
0.866833 -2.52012 4.93469 0.443023 -0.0639461
0.876419 -2.56317 4.9282 0.439734 -0.0655351
0.885651 -2.60596 4.92155 0.436419 -0.0671465
0.894527 -2.64848 4.91473 0.43308 -0.0687809
0.90303 -2.69067 4.90772 0.429718 -0.0704384
0.91117 -2.7326 4.90055 0.426434 -0.0720554
0.918944 -2.77426 4.89321 0.423117 -0.0737027
0.926351 -2.81564 4.88571 0.419766 -0.0753825
0.933386 -2.85675 4.87803 0.416384 -0.0770943
0.938755 -2.88949 4.8718 0.412973 -0.0788373
0.945201 -2.93063 4.86374 0.421668 -0.0830829
0.951346 -2.97208 4.85533 0.417283 -0.0848591
0.957071 -3.0131 4.84675 0.411987 -0.0863761
0.962373 -3.05364 4.83802 0.406888 -0.0879557
0.967257 -3.09374 4.82912 0.402023 -0.0896132
0.971729 -3.13342 4.82006 0.397358 -0.0913418
0.97579 -3.17267 4.81082 0.392863 -0.0931345
0.979443 -3.21153 4.80139 0.38851 -0.094985
0.98269 -3.24999 4.79178 0.384277 -0.0968885
0.985533 -3.28806 4.78197 0.380147 -0.0988407
0.987972 -3.32575 4.77197 0.376104 -0.100838
0.990008 -3.36307 4.76176 0.372135 -0.102878
0.991642 -3.40001 4.75135 0.368231 -0.104958
0.992875 -3.43658 4.74073 0.364383 -0.107076
0.993706 -3.47278 4.72989 0.360584 -0.109229
0.994136 -3.50861 4.71884 0.35683 -0.111418
0.994166 -3.54407 4.70756 0.353115 -0.113639
0.993797 -3.57916 4.69606 0.349437 -0.115893
0.993028 -3.61388 4.68434 0.345793 -0.118177
0.99186 -3.64822 4.67238 0.342181 -0.120491
0.990296 -3.68212 4.66014 0.3386 -0.122834
0.988332 -3.71571 4.64772 0.335161 -0.125117
0.985971 -3.74893 4.63507 0.331631 -0.127521
0.983215 -3.78177 4.62217 0.328123 -0.129956
0.980066 -3.81422 4.60902 0.324647 -0.132415
0.97653 -3.84621 4.59558 0.321203 -0.134895
0.972602 -3.87783 4.5819 0.317901 -0.137305
0.968284 -3.90906 4.56798 0.314618 -0.139744
0.96455 -3.93375 4.55665 0.311353 -0.142214
0.95944 -3.96483 4.54202 0.317319 -0.148998
0.95387 -3.99581 4.52699 0.313185 -0.151206
0.947917 -4.02628 4.51175 0.308612 -0.15321
0.941589 -4.05622 4.4963 0.304245 -0.155304
0.93489 -4.08564 4.48064 0.300096 -0.157491
0.927805 -4.11464 4.4648 0.29614 -0.159758
0.920377 -4.14306 4.44868 0.29223 -0.162174
0.91259 -4.171 4.43232 0.288607 -0.164554
0.904443 -4.19847 4.41572 0.285126 -0.166971
0.89594 -4.22548 4.39887 0.281764 -0.169424
0.887085 -4.25202 4.38178 0.27851 -0.171903
0.877881 -4.2781 4.36444 0.275354 -0.174403
0.86833 -4.30373 4.34685 0.27229 -0.176915
0.858438 -4.32891 4.32901 0.26931 -0.179434
0.848206 -4.35363 4.31091 0.266411 -0.181954
0.83764 -4.3779 4.29257 0.263587 -0.184469
0.826743 -4.40172 4.27397 0.260836 -0.186975
0.81552 -4.42509 4.25512 0.258156 -0.189467
0.803974 -4.448 4.23603 0.255543 -0.191941
0.792109 -4.47046 4.21669 0.252996 -0.194392
0.779932 -4.49247 4.1971 0.250514 -0.196817
0.767445 -4.51402 4.17728 0.248095 -0.199211
0.754655 -4.53511 4.15721 0.245739 -0.201571
0.741566 -4.55575 4.13692 0.243444 -0.203894
0.728184 -4.57592 4.11639 0.241211 -0.206177
0.714513 -4.59563 4.09564 0.239039 -0.208415
0.700559 -4.61489 4.07467 0.236927 -0.210607
0.686352 -4.63364 4.05343 0.234876 -0.212749
0.671846 -4.65197 4.03204 0.232953 -0.214766
0.660072 -4.66626 4.01473 0.231015 -0.216807
0.644842 -4.68403 3.99255 0.235999 -0.225231
0.629182 -4.70149 3.96995 0.233578 -0.226572
0.613308 -4.7184 3.94723 0.230865 -0.227519
0.597236 -4.73476 3.92442 0.228329 -0.228522
0.580968 -4.75058 3.9015 0.225981 -0.229589
0.564505 -4.76587 3.87848 0.223802 -0.230701
0.54785 -4.78063 3.85534 0.221775 -0.231838
0.531005 -4.79488 3.83209 0.219885 -0.232985
0.513975 -4.80862 3.80872 0.218118 -0.234129
0.496762 -4.82186 3.78524 0.216465 -0.235259
0.47937 -4.83459 3.76165 0.214915 -0.236368
0.461805 -4.84682 3.73794 0.213461 -0.237447
0.444071 -4.85855 3.71414 0.212096 -0.238492
0.426174 -4.86979 3.69023 0.210815 -0.239497
0.408118 -4.88053 3.66622 0.209612 -0.240459
0.389911 -4.89077 3.64212 0.208484 -0.241376
0.371557 -4.90053 3.61793 0.207426 -0.242246
0.353063 -4.90979 3.59366 0.206435 -0.243068
0.334436 -4.91855 3.5693 0.205509 -0.24384
0.315682 -4.92683 3.54488 0.204645 -0.244563
0.296807 -4.93461 3.52038 0.203842 -0.245237
0.277819 -4.9419 3.49582 0.203096 -0.245862
0.258725 -4.9487 3.4712 0.202407 -0.246439
0.239531 -4.955 3.44652 0.201773 -0.246969
0.220245 -4.96081 3.42179 0.201193 -0.247452
0.200874 -4.96612 3.39702 0.200665 -0.247889
0.181425 -4.97095 3.37221 0.200189 -0.248282
0.161907 -4.97527 3.34736 0.199763 -0.248632
0.142332 -4.97911 3.32247 0.199388 -0.248939
0.122701 -4.98244 3.29756 0.199074 -0.249194
0.106955 -4.98476 3.27762 0.198806 -0.249411
0.0868941 -4.98725 3.25221 0.204386 -0.257086
0.0665951 -4.98924 3.22654 0.203692 -0.25656
0.0463357 -4.9907 3.20094 0.202752 -0.255604
0.0261305 -4.99164 3.17543 0.20196 -0.254747
0.00596509 -4.99207 3.14998 0.201322 -0.254
-0.0141354 -4.99198 3.12463 0.200806 -0.253318
-0.0341844 -4.99139 3.09933 0.200435 -0.252728
-0.0541818 -4.99029 3.07409 0.200178 -0.25219
-0.0741257 -4.98869 3.0489 0.200024 -0.251687
-0.0940132 -4.98659 3.02376 0.199963 -0.251206
-0.113841 -4.98399 2.99867 0.199988 -0.250737
-0.133604 -4.98089 2.97362 0.200094 -0.25027
-0.153299 -4.9773 2.94862 0.200275 -0.249798
-0.172919 -4.97321 2.92367 0.200527 -0.249312
-0.192454 -4.96863 2.89876 0.200848 -0.248807
-0.211911 -4.96355 2.87391 0.201244 -0.248261
-0.231276 -4.95798 2.84912 0.201691 -0.247703
-0.250544 -4.95192 2.82439 0.202198 -0.247112
-0.269707 -4.94536 2.79971 0.202766 -0.246482
-0.28876 -4.93832 2.7751 0.203391 -0.24581
-0.307695 -4.93078 2.75057 0.204075 -0.245092
-0.326506 -4.92275 2.7261 0.204815 -0.244326
-0.345185 -4.91424 2.70172 0.205613 -0.243508
-0.363727 -4.90524 2.67742 0.206466 -0.242636
-0.382123 -4.89574 2.65321 0.207376 -0.241708
-0.400385 -4.88576 2.62912 0.208341 -0.240722
-0.418487 -4.87528 2.60513 0.209331 -0.239709
