x y theta v w
-0.719572 1.95442 5.00546 0.480709 0.0455699
-0.70554 1.9083 5.00995 0.483386 0.0442358
-0.691227 1.862 5.01431 0.486012 0.0429173
-0.676637 1.8155 5.01854 0.488586 0.041614
-0.661776 1.76882 5.02263 0.491105 0.0403254
-0.646651 1.72197 5.0266 0.49357 0.0390511
-0.631267 1.67494 5.03044 0.495979 0.0377905
-0.61563 1.62775 5.03416 0.498331 0.0365433
-0.599747 1.58039 5.03775 0.500625 0.035309
-0.583625 1.53287 5.04122 0.502859 0.0340872
-0.567268 1.48521 5.04457 0.505033 0.0328775
-0.550685 1.43739 5.0478 0.507146 0.0316793
-0.533882 1.38943 5.05091 0.509198 0.0304923
-0.516865 1.34133 5.0539 0.511186 0.029316
-0.499642 1.2931 5.05677 0.51311 0.0281501
-0.482218 1.24473 5.05953 0.514969 0.0269941
-0.464602 1.19625 5.06217 0.516763 0.0258476
-0.4468 1.14764 5.0647 0.51849 0.0247102
-0.428819 1.09892 5.06712 0.52015 0.0235815
-0.410667 1.05009 5.06942 0.521742 0.0224611
-0.39235 1.00115 5.07161 0.523266 0.0213485
-0.373877 0.952113 5.07369 0.52472 0.0202435
-0.355253 0.902981 5.07566 0.526104 0.0191455
-0.336488 0.853759 5.07752 0.527417 0.0180543
-0.317588 0.804451 5.07927 0.52866 0.0169694
-0.298562 0.755063 5.08091 0.52983 0.0158904
-0.279415 0.7056 5.08245 0.530929 0.014817
-0.260157 0.656066 5.08388 0.531954 0.0137488
-0.240795 0.606466 5.0852 0.532907 0.0126854
-0.221337 0.556806 5.08641 0.533785 0.0116264
-0.20179 0.50709 5.08752 0.53459 0.0105714
-0.182162 0.457323 5.08853 0.53532 0.00952019
-0.162462 0.407511 5.08943 0.535976 0.00847227
-0.142696 0.357657 5.09022 0.536556 0.0074273
-0.122874 0.307768 5.09091 0.537062 0.00638493
-0.103002 0.257849 5.0915 0.537492 0.00534478
-0.0830893 0.207903 5.09198 0.537846 0.00430649
-0.0631432 0.157937 5.09236 0.538124 0.0032697
-0.0431718 0.107955 5.09264 0.538326 0.00223406
-0.0231831 0.0579617 5.09281 0.538453 0.00119919
-0.00318521 0.00796303 5.09288 0.538503 0.000164733
0.016814 -0.0420365 5.09284 0.538477 -0.000869662
0.0368065 -0.0920318 5.0927 0.538375 -0.00190436
0.0567842 -0.142018 5.09246 0.538197 -0.00293972
0.0767393 -0.19199 5.09211 0.537943 -0.00397611
0.0966636 -0.241942 5.09167 0.537613 -0.00501388
0.116549 -0.291871 5.09111 0.537207 -0.00605339
0.136388 -0.34177 5.09045 0.536726 -0.00709502
0.156173 -0.391635 5.08969 0.536169 -0.00813912
0.175895 -0.441461 5.08883 0.535537 -0.00918606
0.195547 -0.491243 5.08786 0.534831 -0.0102362
0.21512 -0.540976 5.08678 0.53405 -0.0112899
0.234608 -0.590655 5.0856 0.533195 -0.0123476
0.254001 -0.640274 5.08431 0.532266 -0.0134096
0.273293 -0.68983 5.08291 0.531263 -0.0144762
0.292476 -0.739316 5.08141 0.530188 -0.0155479
0.311541 -0.788729 5.0798 0.52904 -0.0166251
0.330483 -0.838062 5.07809 0.527821 -0.0177081
0.349291 -0.887312 5.07626 0.52653 -0.0187972
0.367961 -0.936474 5.07433 0.525168 -0.019893
0.386483 -0.985541 5.07228 0.523736 -0.0209958
0.40485 -1.03451 5.07013 0.522235 -0.0221059
0.423055 -1.08338 5.06786 0.520665 -0.0232237
0.441092 -1.13213 5.06548 0.519026 -0.0243498
0.458952 -1.18078 5.06299 0.51732 -0.0254844
0.476628 -1.2293 5.06039 0.515548 -0.0266279
0.494113 -1.27771 5.05766 0.513709 -0.0277808
0.511401 -1.32598 5.05483 0.511805 -0.0289436
0.528485 -1.37412 5.05188 0.509838 -0.0301165
0.545357 -1.42213 5.0488 0.507807 -0.0313
0.562011 -1.46999 5.04561 0.505713 -0.0324946
0.57844 -1.51771 5.0423 0.503558 -0.0337006
0.594638 -1.56527 5.03887 0.501343 -0.0349185
0.610597 -1.61268 5.03532 0.499068 -0.0361488
0.626313 -1.65993 5.03164 0.496734 -0.0373918
0.641778 -1.70701 5.02784 0.494344 -0.0386481
0.656987 -1.75392 5.02391 0.491897 -0.039918
0.671932 -1.80065 5.01986 0.489394 -0.041202
0.686609 -1.84721 5.01567 0.486838 -0.0425006
0.701011 -1.89357 5.01135 0.484228 -0.0438142
0.715133 -1.93975 5.00691 0.481567 -0.0451432
0.728969 -1.98574 5.00232 0.478856 -0.0464883
0.742513 -2.03153 4.99761 0.476095 -0.0478497
0.755761 -2.07711 4.99275 0.473286 -0.0492279
0.768706 -2.12249 4.98776 0.470431 -0.0506235
0.781343 -2.16765 4.98263 0.46753 -0.052037
0.793668 -2.2126 4.97735 0.464585 -0.0534687
0.805675 -2.25733 4.97193 0.461597 -0.0549192
0.817361 -2.30183 4.96637 0.458568 -0.0563889
0.828719 -2.3461 4.96065 0.455499 -0.0578783
0.839746 -2.39014 4.95479 0.452391 -0.0593879
0.850437 -2.43393 4.94877 0.449246 -0.0609182
0.860787 -2.47749 4.9426 0.446066 -0.0624696
0.870794 -2.52079 4.93628 0.442851 -0.0640426
0.880452 -2.56385 4.92979 0.439604 -0.0656376
0.889758 -2.60664 4.92315 0.436326 -0.0672552
0.898708 -2.64918 4.91634 0.433018 -0.0688958
0.907299 -2.69145 4.90937 0.429682 -0.0705597
0.915526 -2.73346 4.90223 0.426319 -0.0722476
0.923388 -2.77518 4.89492 0.422932 -0.0739597
0.93088 -2.81664 4.88743 0.419521 -0.0756966
0.938 -2.85781 4.87977 0.416088 -0.0774585
0.944745 -2.89869 4.87194 0.412636 -0.079246
0.951111 -2.93929 4.86392 0.409164 -0.0810594
0.957098 -2.97959 4.85573 0.405676 -0.082899
0.962701 -3.01959 4.84734 0.402173 -0.0847652
0.96792 -3.05929 4.83877 0.398657 -0.0866584
0.972751 -3.09868 4.83001 0.395128 -0.0885787
0.977193 -3.13777 4.82105 0.39159 -0.0905265
0.981245 -3.17654 4.8119 0.388043 -0.092502
0.984903 -3.21499 4.80255 0.384489 -0.0945054
0.988168 -3.25313 4.793 0.38093 -0.0965368
0.991038 -3.29093 4.78324 0.377368 -0.0985965
0.993511 -3.32841 4.77328 0.373804 -0.100685
0.995587 -3.36555 4.7631 0.370241 -0.102801
0.997265 -3.40236 4.75271 0.366679 -0.104946
0.998543 -3.43883 4.74211 0.36312 -0.107119
0.999423 -3.47496 4.73129 0.359567 -0.10932
0.999902 -3.51073 4.72024 0.356021 -0.111549
0.999982 -3.54616 4.70897 0.352484 -0.113806
0.999662 -3.58123 4.69748 0.348957 -0.116091
0.998941 -3.61594 4.68575 0.345442 -0.118402
0.997822 -3.65029 4.6738 0.341941 -0.120741
0.996303 -3.68428 4.6616 0.338456 -0.123105
0.994385 -3.7179 4.64917 0.334988 -0.125495
0.99207 -3.75114 4.6365 0.331538 -0.12791
0.989358 -3.78401 4.62359 0.328109 -0.130349
0.986251 -3.81651 4.61043 0.324702 -0.132812
0.982748 -3.84862 4.59702 0.321319 -0.135297
0.978853 -3.88034 4.58337 0.317962 -0.137802
0.974566 -3.91168 4.56946 0.314631 -0.140328
0.96989 -3.94263 4.5553 0.311329 -0.142873
0.964825 -3.97318 4.54088 0.308058 -0.145435
0.959375 -4.00333 4.52621 0.304818 -0.148013
0.953541 -4.03309 4.51128 0.301611 -0.150605
0.947325 -4.06244 4.49609 0.298438 -0.153209
0.940731 -4.09139 4.48063 0.295302 -0.155825
0.93376 -4.11992 4.46492 0.292203 -0.158448
0.926415 -4.14805 4.44894 0.289143 -0.161079
0.918701 -4.17576 4.4327 0.286124 -0.163713
0.910618 -4.20305 4.4162 0.283146 -0.16635
0.902172 -4.22992 4.39943 0.280211 -0.168987
0.893364 -4.25637 4.3824 0.277319 -0.17162
0.8842 -4.28239 4.36511 0.274473 -0.174248
0.874681 -4.30798 4.34755 0.271674 -0.176868
0.864813 -4.33315 4.32973 0.268921 -0.179477
0.854599 -4.35788 4.31165 0.266218 -0.182072
0.844043 -4.38217 4.29331 0.263564 -0.184651
0.833149 -4.40603 4.27472 0.26096 -0.187209
0.821922 -4.42945 4.25587 0.258407 -0.189745
0.810367 -4.45242 4.23677 0.255907 -0.192256
0.798487 -4.47495 4.21742 0.253459 -0.194737
0.786288 -4.49703 4.19782 0.251066 -0.197187
0.773774 -4.51866 4.17798 0.248726 -0.199602
0.760951 -4.53984 4.1579 0.246441 -0.201979
0.747824 -4.56056 4.13759 0.244212 -0.204315
0.734397 -4.58083 4.11704 0.242038 -0.206608
0.720677 -4.60064 4.09626 0.239921 -0.208854
0.706668 -4.61999 4.07527 0.237861 -0.211051
0.692377 -4.63888 4.05405 0.235857 -0.213197
0.677808 -4.6573 4.03263 0.233911 -0.215288
0.662969 -4.67526 4.011 0.232022 -0.217324
0.647865 -4.69275 3.98916 0.23019 -0.219301
0.632501 -4.70978 3.96714 0.228415 -0.221218
0.616884 -4.72633 3.94492 0.226699 -0.223073
0.601021 -4.74241 3.92252 0.225039 -0.224865
